tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
g__Thermocrinis,f__Aquificaceae,genus,g__Thermocrinis,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,f__Aquificaceae,g__Thermocrinis,
s__albus,g__Thermocrinis,species,s__albus,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,f__Aquificaceae,g__Thermocrinis,s__albus
g__Microlunatus,f__Propionibacteriaceae,genus,g__Microlunatus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Microlunatus,
g__u114,f__Fusobacteriaceae,genus,g__u114,Root,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__u114,
g__planctomycete,f__Pirellulaceae,genus,g__planctomycete,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__planctomycete,
s__DDSW3008,g__planctomycete,species,s__DDSW3008,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__planctomycete,s__DDSW3008
g__Reinekea,f__Saccharospirillaceae,genus,g__Reinekea,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae,g__Reinekea,
g__Fulvimarina,f__Aurantimonadaceae,genus,g__Fulvimarina,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Fulvimarina,
g__Echinicola,f__Cyclobacteriaceae,genus,g__Echinicola,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Echinicola,
s__shivajiensis,g__Echinicola,species,s__shivajiensis,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Echinicola,s__shivajiensis
s__skyensis,g__Pasteurella,species,s__skyensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__skyensis
s__halophobica,g__Pseudonocardia,species,s__halophobica,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Pseudonocardia,s__halophobica
s__lubricantis,g__Corynebacterium,species,s__lubricantis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__lubricantis
g__Wohlfahrtiimonas,f__Xanthomonadaceae,genus,g__Wohlfahrtiimonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Wohlfahrtiimonas,
g__GA41,f__Halobacteriaceae,genus,g__GA41,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__GA41,
g__Brasilonema,f__Scytonemataceae,genus,g__Brasilonema,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Scytonemataceae,g__Brasilonema,
s__bromeliae,g__Brasilonema,species,s__bromeliae,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Scytonemataceae,g__Brasilonema,s__bromeliae
g__Piscicoccus,f__Dermatophilaceae,genus,g__Piscicoccus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Piscicoccus,
s__intestinalis,g__Piscicoccus,species,s__intestinalis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Piscicoccus,s__intestinalis
g__Gulbenkiania,f__Neisseriaceae,genus,g__Gulbenkiania,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Gulbenkiania,
s__mobilise1,g__Gulbenkiania,species,s__mobilise1,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Gulbenkiania,s__mobilise1
g__Haloferax,f__Halobacteriaceae,genus,g__Haloferax,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Haloferax,
g__Weeksella,f__[Weeksellaceae],genus,g__Weeksella,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],g__Weeksella,
s__virosa,g__Weeksella,species,s__virosa,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],g__Weeksella,s__virosa
s__halophila,g__Nitrosomonas,species,s__halophila,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__halophila
s__albae1,g__Actinomadura,species,s__albae1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__Actinomadura,s__albae1
g__Allobeggiatoa,f__Thiotrichaceae,genus,g__Allobeggiatoa,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Allobeggiatoa,
s__halophilae1,g__Allobeggiatoa,species,s__halophilae1,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Allobeggiatoa,s__halophilae1
s__albertensis,g__Acidithiobacillus,species,s__albertensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidithiobacillales,f__Acidithiobacillaceae,g__Acidithiobacillus,s__albertensis
s__thermolimosa,g__Anaerolinea,species,s__thermolimosa,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolinaceae,g__Anaerolinea,s__thermolimosa
s__maritimume1,g__Tenacibaculum,species,s__maritimume1,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Tenacibaculum,s__maritimume1
s__cabanillasii,g__Xenorhabdus,species,s__cabanillasii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Xenorhabdus,s__cabanillasii
g__Clostridiume4,f__Ruminococcaceae,genus,g__Clostridiume4,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Clostridiume4,
s__islandicum,g__Clostridiume4,species,s__islandicum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Clostridiume4,s__islandicum
s__juripiscarius,g__Lentibacillus,species,s__juripiscarius,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Lentibacillus,s__juripiscarius
g__Endowatersipora,f__Phyllobacteriaceae,genus,g__Endowatersipora,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Endowatersipora,
s__rubus,g__Endowatersipora,species,s__rubus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Endowatersipora,s__rubus
g__Ammonifex,f__Thermoanaerobacteraceae,genus,g__Ammonifex,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Ammonifex,
s__thiophiluse1,g__Ammonifex,species,s__thiophiluse1,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Ammonifex,s__thiophiluse1
g__AUTHM297,f__Thermotogaceae,genus,g__AUTHM297,Root,k__Bacteria,p__Thermotogae,c__Thermotogae,o__Thermotogales,f__Thermotogaceae,g__AUTHM297,
g__Wautersiella,f__[Weeksellaceae],genus,g__Wautersiella,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],g__Wautersiella,
g__Halostagnicola,f__Halobacteriaceae,genus,g__Halostagnicola,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halostagnicola,
s__witches-broom,g__Candidatus_Phytoplasma,species,s__witches-broom,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Candidatus_Phytoplasma,s__witches-broom
g__Vitreoscilla,f__Neisseriaceae,genus,g__Vitreoscilla,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Vitreoscilla,
g__Thiorhodovibrio,f__Chromatiaceae,genus,g__Thiorhodovibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiorhodovibrio,
s__winogradskyi,g__Thiorhodovibrio,species,s__winogradskyi,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiorhodovibrio,s__winogradskyi
s__viridans,g__Carnobacterium,species,s__viridans,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Carnobacterium,s__viridans
s__siamensis,g__Virgibacillus,species,s__siamensis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Virgibacillus,s__siamensis
g__Coccomyxa,f__mitochondria,genus,g__Coccomyxa,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Coccomyxa,
s__subellipsoidea,g__Coccomyxa,species,s__subellipsoidea,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Coccomyxa,s__subellipsoidea
s__perlucida,g__Rheinheimera,species,s__perlucida,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__[Chromatiaceae],g__Rheinheimera,s__perlucida
s__denhamense,g__Roseibium,species,s__denhamense,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Roseibium,s__denhamense
g__Perexilibacter,f__Flammeovirgaceae,genus,g__Perexilibacter,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Flammeovirgaceae,g__Perexilibacter,
s__aurantiacus,g__Perexilibacter,species,s__aurantiacus,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Flammeovirgaceae,g__Perexilibacter,s__aurantiacus
s__polansiana,g__Chroococcidiopsis,species,s__polansiana,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Xenococcaceae,g__Chroococcidiopsis,s__polansiana
g__Sinomonas,f__Micrococcaceae,genus,g__Sinomonas,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Sinomonas,
g__Zymomonas,f__Sphingomonadaceae,genus,g__Zymomonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Zymomonas,
s__equorum,g__Staphylococcus,species,s__equorum,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__equorum
g__Phaeoceros,f__mitochondria,genus,g__Phaeoceros,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Phaeoceros,
s__laevis,g__Phaeoceros,species,s__laevis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Phaeoceros,s__laevis
g__Rhopalodia,f__Cyanobacteriaceae,genus,g__Rhopalodia,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Cyanobacteriaceae,g__Rhopalodia,
s__gibba,g__Rhopalodia,species,s__gibba,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Cyanobacteriaceae,g__Rhopalodia,s__gibba
g__Nitritalea,f__Cyclobacteriaceae,genus,g__Nitritalea,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Nitritalea,
s__halalkaliphila,g__Nitritalea,species,s__halalkaliphila,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Nitritalea,s__halalkaliphila
g__PW3,f__Rikenellaceae,genus,g__PW3,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__PW3,
g__Colwellia,f__Colwelliaceae,genus,g__Colwellia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,
s__piezophila,g__Colwellia,species,s__piezophila,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__piezophila
g__Algibacter,f__Flavobacteriaceae,genus,g__Algibacter,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Algibacter,
s__lectus,g__Algibacter,species,s__lectus,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Algibacter,s__lectus
g__Salirhabdus,f__Bacillaceae,genus,g__Salirhabdus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Salirhabdus,
s__euzebyi,g__Salirhabdus,species,s__euzebyi,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Salirhabdus,s__euzebyi
c__MSBL2,p__WWE1,class,c__MSBL2,Root,k__Bacteria,p__WWE1,c__MSBL2,,,,
o__ST-3K10,c__MSBL2,order,o__ST-3K10,Root,k__Bacteria,p__WWE1,c__MSBL2,o__ST-3K10,,,
g__Brumimicrobium,f__Cryomorphaceae,genus,g__Brumimicrobium,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,g__Brumimicrobium,
s__paucivorans,g__Brevibacterium,species,s__paucivorans,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__paucivorans
g__Scytonemae1,f__Nostocaceae,genus,g__Scytonemae1,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Scytonemae1,
s__chiastum,g__Scytonemae1,species,s__chiastum,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Scytonemae1,s__chiastum
s__SCA1145,g__Candidatus_Nitrososphaera,species,s__SCA1145,Root,k__Archaea,p__Crenarchaeota,c__Thaumarchaeota,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrososphaera,s__SCA1145
o__Ucp1540,c__Fibrobacteria,order,o__Ucp1540,Root,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Ucp1540,,,
s__gelatinovorus,g__Thalassobius,species,s__gelatinovorus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thalassobius,s__gelatinovorus
g__Terrimonas,f__Chitinophagaceae,genus,g__Terrimonas,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__Terrimonas,
g__Isosphaera,f__Isosphaeraceae,genus,g__Isosphaera,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Isosphaeraceae,g__Isosphaera,
g__Oceanospirillum,f__Oceanospirillaceae,genus,g__Oceanospirillum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oceanospirillaceae,g__Oceanospirillum,
p__MVS-104,k__Bacteria,phylum,p__MVS-104,Root,k__Bacteria,p__MVS-104,,,,,
g__Desulfuromonas,f__Desulfuromonadaceae,genus,g__Desulfuromonas,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
g__Aurantimonas,f__Aurantimonadaceae,genus,g__Aurantimonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Aurantimonas,
s__altamirensis,g__Aurantimonas,species,s__altamirensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Aurantimonas,s__altamirensis
s__mucosae,g__Lactobacillus,species,s__mucosae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__mucosae
s__tubiashi,g__Acanthamoeba,species,s__tubiashi,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Acanthamoeba,s__tubiashi
g__Verrucosispora,f__Micromonosporaceae,genus,g__Verrucosispora,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Verrucosispora,
g__Dactylosporangium,f__Micromonosporaceae,genus,g__Dactylosporangium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Dactylosporangium,
g__DL1A-100,f__MSBL1,genus,g__DL1A-100,Root,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__MSBL1,g__DL1A-100,
g__Swaminathania,f__Acetobacteraceae,genus,g__Swaminathania,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Swaminathania,
o__CAB-I,c__Chloroplast,order,o__CAB-I,Root,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__CAB-I,,,
g__Halobaculum,f__Halobacteriaceae,genus,g__Halobaculum,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobaculum,
g__Saccharospirillum,f__Saccharospirillaceae,genus,g__Saccharospirillum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae,g__Saccharospirillum,
f__3H8,o__Lentisphaerales,family,f__3H8,Root,k__Bacteria,p__Lentisphaerae,c__[Lentisphaeria],o__Lentisphaerales,f__3H8,,
g__Viridibacillus,f__Planococcaceae,genus,g__Viridibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Viridibacillus,
g__Litorilinea,f__Caldilineaceae,genus,g__Litorilinea,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__Litorilinea,
s__aerophila,g__Litorilinea,species,s__aerophila,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__Litorilinea,s__aerophila
f__Methanococcaceae,o__Methanococcales,family,f__Methanococcaceae,Root,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,,
s__rumoiensis,g__Vibrio,species,s__rumoiensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__rumoiensis
g__Ferruginibacter,f__Chitinophagaceae,genus,g__Ferruginibacter,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__Ferruginibacter,
s__lapsinanis,g__Ferruginibacter,species,s__lapsinanis,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__Ferruginibacter,s__lapsinanis
c__SHAB590,p__NKB19,class,c__SHAB590,Root,k__Bacteria,p__NKB19,c__SHAB590,,,,
o__Glaucocystophyceae,c__Chloroplast,order,o__Glaucocystophyceae,Root,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Glaucocystophyceae,,,
g__Acidobacterium,f__Acidobacteriaceae,genus,g__Acidobacterium,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,
o__RCII,c__Methanomicrobia,order,o__RCII,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__RCII,,,
g__Crocosphaera,f__Cyanobacteriaceae,genus,g__Crocosphaera,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Cyanobacteriaceae,g__Crocosphaera,
o__DHVE3,c__DSEG,order,o__DHVE3,Root,k__Archaea,p__Euryarchaeota,c__DSEG,o__DHVE3,,,
g__Subtercola,f__Microbacteriaceae,genus,g__Subtercola,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Subtercola,
s__boreus,g__Subtercola,species,s__boreus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Subtercola,s__boreus
g__Giesbergeria,f__Comamonadaceae,genus,g__Giesbergeria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Giesbergeria,
g__Celerinatantimonas,f__Alteromonadaceae,genus,g__Celerinatantimonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Celerinatantimonas,
s__diazotrophica,g__Celerinatantimonas,species,s__diazotrophica,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Celerinatantimonas,s__diazotrophica
s__hirsuta,g__Saccharopolyspora,species,s__hirsuta,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__hirsuta
g__Methanocorpusculum,f__Methanocorpusculaceae,genus,g__Methanocorpusculum,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,
g__Maricaulis,f__Hyphomonadaceae,genus,g__Maricaulis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Hyphomonadaceae,g__Maricaulis,
g__Lebetimonas,f__Nautiliaceae,genus,g__Lebetimonas,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Nautiliales,f__Nautiliaceae,g__Lebetimonas,
s__acidiphila,g__Lebetimonas,species,s__acidiphila,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Nautiliales,f__Nautiliaceae,g__Lebetimonas,s__acidiphila
g__Aquabacterium,f__Comamonadaceae,genus,g__Aquabacterium,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Aquabacterium,
g__Alkalibacter,f__Eubacteriaceae,genus,g__Alkalibacter,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Alkalibacter,
g__Serinibacter,f__Beutenbergiaceae,genus,g__Serinibacter,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Beutenbergiaceae,g__Serinibacter,
s__salmoneus,g__Serinibacter,species,s__salmoneus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Beutenbergiaceae,g__Serinibacter,s__salmoneus
f__[Chloroherpetaceae],o__[Chloroherpetales],family,f__[Chloroherpetaceae],Root,k__Bacteria,p__Chlorobi,c__Chlorobia,o__[Chloroherpetales],f__[Chloroherpetaceae],,
g__Chloroherpeton,f__[Chloroherpetaceae],genus,g__Chloroherpeton,Root,k__Bacteria,p__Chlorobi,c__Chlorobia,o__[Chloroherpetales],f__[Chloroherpetaceae],g__Chloroherpeton,
g__Marinibacillus,f__Bacillaceae,genus,g__Marinibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Marinibacillus,
g__vadinHB04,f__Veillonellaceae,genus,g__vadinHB04,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__vadinHB04,
g__haloarchaeon,f__Halobacteriaceae,genus,g__haloarchaeon,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__haloarchaeon,
s__Cry7_9.1,g__haloarchaeon,species,s__Cry7_9.1,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__haloarchaeon,s__Cry7_9.1
s__pyrinus,g__Enterobacter,species,s__pyrinus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__pyrinus
s__salsuginis,g__Saccharospirillum,species,s__salsuginis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae,g__Saccharospirillum,s__salsuginis
g__Malawimonas,f__mitochondria,genus,g__Malawimonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Malawimonas,
s__jakobiformis,g__Malawimonas,species,s__jakobiformis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Malawimonas,s__jakobiformis
s__henricii,g__Caulobacter,species,s__henricii,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__henricii
s__chagannorensis,g__Bacillus,species,s__chagannorensis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__chagannorensis
s__marinuse4,g__Tenacibaculum,species,s__marinuse4,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Tenacibaculum,s__marinuse4
o__[Desulforudales],c__Clostridia,order,o__[Desulforudales],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__[Desulforudales],,,
f__[Desulforudaceae],o__[Desulforudales],family,f__[Desulforudaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__[Desulforudales],f__[Desulforudaceae],,
g__Nicoletella,f__Pasteurellaceae,genus,g__Nicoletella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Nicoletella,
s__semolina,g__Nicoletella,species,s__semolina,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Nicoletella,s__semolina
g__Albimonas,f__Rhodobacteraceae,genus,g__Albimonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Albimonas,
s__donghaensis,g__Albimonas,species,s__donghaensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Albimonas,s__donghaensis
g__Xylophilus,f__Comamonadaceae,genus,g__Xylophilus,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Xylophilus,
